Handdrawn Line Coordinates
=========================
Format: x1,y1,x2,y2

174,107,1266,102
853,627,213,525
386,826,1331,823
0,473,1422,445
357,144,401,814
1328,248,1326,524
1073,153,182,136
461,142,493,567
1272,705,1305,127
176,158,197,558
565,75,778,74
1127,694,1124,422
0,410,1436,404
465,292,1436,319
895,410,903,740
977,179,979,377
713,689,763,21
1095,837,1084,181
1271,556,1255,127
1068,178,1123,834
86,301,97,448
93,410,1052,363
567,13,579,435
1037,732,899,759
720,18,585,17
734,486,6,449
896,734,901,411
1180,253,1339,807
190,514,1328,505
576,147,379,148
774,651,782,78
627,482,628,657
387,786,388,814
-8,433,26,399
979,357,1438,347
1036,736,1039,119
1120,686,643,700
1320,84,1348,145
1105,64,1143,529
725,696,750,14
1336,344,1367,369
487,298,490,257
624,653,624,490
288,303,287,380
984,182,1080,182
1287,666,1288,587
390,298,391,377
3,388,12,451
733,694,700,14
1435,327,1437,385
382,246,313,461
1159,591,1184,254
853,137,1271,135
616,170,1075,175
1263,525,1263,443
1068,832,1127,832
813,566,201,546
151,509,201,162
373,457,373,472
586,71,586,18
405,481,1325,468
344,242,366,389
7,407,1349,395
351,316,355,255
718,658,767,656
1282,615,1284,558
1278,561,1279,524
470,258,1327,248
565,399,544,258
294,432,364,376
192,534,193,553
349,256,352,231
119,299,1437,331
973,307,973,190
620,340,1129,340
638,655,640,695
191,378,197,428
576,87,576,119
261,381,288,374
344,210,348,154
304,569,388,571
546,429,1055,392
1111,836,1116,798
1350,382,1347,332
769,648,772,553
821,830,1329,794
344,388,1412,388
333,390,669,368
1296,705,1309,761
316,418,324,469
1231,130,1272,130
786,127,819,127
314,459,317,414
942,141,967,141
325,488,1329,504
46,436,941,436
1332,254,1332,305
1275,527,1329,523
496,252,540,255
85,448,90,388
1331,385,1438,383
457,819,509,821
980,374,1011,374
1442,376,1442,339

Total lines: 104
